CustomerName,InvoiceNumber,InvoiceDate,CustomerPoNumber,BillTotal,Applied,Status,Currency,ContactName,ContactPhone,ContactEmail,CustomerTerms,DueDate
Navigator Consulting,DF2028299,5/28/25,PO-000742,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,6/27/25 00:00
Navigator Consulting,DF2028300,5/28/25,PO-000743,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,6/27/25 00:00
Navigator Consulting,DF2028301,5/30/25,PO-000744,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,6/29/25 00:00
Navigator Consulting,DF2028597,4/9/25,PO-000722,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,5/9/25 00:00
Navigator Consulting,DF2030436,6/3/25,PO-000733,250,250,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/3/25 00:00
Navigator Consulting,DF2030437,6/12/25,PO-000745,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/12/25 00:00
Navigator Consulting,DF2030438,6/12/25,PO-000746,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/12/25 00:00
Navigator Consulting,DF2030439,6/19/25,PO-000747,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/19/25 00:00
Navigator Consulting,DF2030440,6/17/25,PO-000748,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/17/25 00:00
Navigator Consulting,DF2030441,6/23/25,PO-000749,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/23/25 00:00
Navigator Consulting,DF2030442,6/23/25,PO-000750,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/23/25 00:00
Navigator Consulting,DF2030443,6/24/25,PO-000751,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/24/25 00:00
Navigator Consulting,DF2030444,7/1/25,PO-000752,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/31/25 00:00
Navigator Consulting,DF2030445,6/9/25,PO-000753,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,7/9/25 00:00
Navigator Consulting,DF2030446,7/28/25,PO-000754,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,8/27/25 00:00
Navigator Consulting,DF2030447,7/30/25,PO-000755,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,8/29/25 00:00
Navigator Consulting,DF2030448,8/5/25,PO-000756,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/4/25 00:00
Navigator Consulting,DF2030449,8/8/25,PO-000757,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/7/25 00:00
Navigator Consulting,DF2030450,8/5/25,PO-000758,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/4/25 00:00
Navigator Consulting,DF2030451,8/6/25,PO-000759,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/5/25 00:00
Navigator Consulting,DF2030452,8/13/25,PO-000760,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/12/25 00:00
Navigator Consulting,DF2030453,8/12/25,PO-000761,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/11/25 00:00
Navigator Consulting,DF2030454,8/15/25,PO-000762,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/14/25 00:00
Navigator Consulting,DF2030455,8/27/25,PO-000763,3200,2661.47,Pending,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,9/26/25 00:00
Navigator Consulting,DF2030456,9/3/25,PO-000764,3200,2750.32,Pending,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,10/3/25 00:00
Navigator Consulting,DF2030457,9/9/25,PO-000765,3200,974.46,Pending,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,10/9/25 00:00
Navigator Consulting,DF2030459,9/22/25,PO-000766,3400,2148.75,Pending,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,10/22/25 00:00
Navigator Consulting,DF2030462,9/22/25,PO-000767,3200,1828.21,Pending,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,10/22/25 00:00
Navigator Consulting,DF2030465,7/28/25,PO-000768,3200,3200,Closed,USD,Sandra Martin,555-378-5616,sandra@navigatorconsulting.com,Net 30,8/27/25 00:00
Career Connectors,DF2027095,2/12/25,PO-000769,800,800,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,3/14/25 00:00
Career Connectors,DF2027167,2/12/25,PO-000770,2200,2200,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,3/14/25 00:00
Career Connectors,DF2027829,3/5/25,PO-000771,800,800,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,4/4/25 00:00
Career Connectors,DF2027832,3/10/25,PO-000772,800,800,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,4/9/25 00:00
Career Connectors,DF2028135,3/19/25,PO-000773,1900,1900,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,4/18/25 00:00
Career Connectors,DF2028267,4/9/25,PO-000774,1900,1900,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,5/9/25 00:00
Career Connectors,DF2028812,5/5/25,PO-000775,1900,1900,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,6/4/25 00:00
Career Connectors,DF2029218,5/5/25,PO-000776,1900,1900,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,6/4/25 00:00
Career Connectors,DF2030037,6/3/25,PO-000777,1900,1900,Closed,USD,Ronald Rivera,555-719-4450,ronald@careerconnectors.com,Net 30,7/3/25 00:00
TechWave Innovations,DF2029711,5/15/25,PO-000778,2775,2775,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,6/14/25 00:00
TechWave Innovations,DF2029822,5/16/25,PO-000779,2775,2775,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,6/15/25 00:00
TechWave Innovations,DF2030166,5/28/25,PO-000780,4100,4100,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,6/27/25 00:00
TechWave Innovations,DF2030174,5/23/25,PO-000781,2520,2520,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,6/22/25 00:00
TechWave Innovations,DF2030175,5/28/25,PO-000782,1800,1800,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,6/27/25 00:00
TechWave Innovations,DF2030389,7/10/25,PO-000783,700,311.06,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,8/9/25 00:00
TechWave Innovations,DF2030718,6/12/25,PO-000784,3900,3900,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,7/12/25 00:00
TechWave Innovations,DF2030755,6/18/25,PO-000785,1600,1600,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,7/18/25 00:00
TechWave Innovations,DF2030757,6/17/25,PO-000786,700,700,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,7/17/25 00:00
TechWave Innovations,DF2030758,6/16/25,PO-000787,2600,2600,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,7/16/25 00:00
TechWave Innovations,DF2030969,6/23/25,PO-000788,2050,2050,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,7/23/25 00:00
TechWave Innovations,DF2030984,6/27/25,PO-000789,2775,2775,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,7/27/25 00:00
TechWave Innovations,DF2031120,7/2/25,PO-000790,2015,2015,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,8/1/25 00:00
TechWave Innovations,DF2031456,7/15/25,PO-000791,3344,3344,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,8/14/25 00:00
TechWave Innovations,DF2031493,7/14/25,PO-000792,4100,4100,Closed,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,8/13/25 00:00
TechWave Innovations,DF2031792,7/30/25,PO-000793,2800,1058.15,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,8/29/25 00:00
TechWave Innovations,DF2032303,8/8/25,PO-000794,2100,1090.84,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,9/7/25 00:00
TechWave Innovations,DF2032436,8/19/25,PO-000795,2020,1844.04,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,9/18/25 00:00
TechWave Innovations,DF2032546,8/25/25,PO-000796,2015,1027.82,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,9/24/25 00:00
TechWave Innovations,DF2032548,8/20/25,PO-000797,2625,1672.69,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,9/19/25 00:00
TechWave Innovations,DF2032549,8/19/25,PO-000798,3444,2606.98,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,9/18/25 00:00
TechWave Innovations,DF2033219,9/15/25,PO-000799,2000,1072.72,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,10/15/25 00:00
TechWave Innovations,DF2033220,9/17/25,PO-000800,3444,3208.63,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,10/17/25 00:00
TechWave Innovations,DF2033221,9/15/25,PO-000801,1950,1804.9,Pending,USD,Lisa Harris,555-834-6617,lisa@techwaveinnovations.com,Net 30,10/15/25 00:00
Green Thumb Nursery,DF2016869,4/27/24,PO-000802,2100,2100,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/4/24 00:00
Green Thumb Nursery,DF2017013,4/27/24,PO-000803,1700,1700,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/4/24 00:00
Green Thumb Nursery,DF2017065,4/27/24,PO-000804,1200,1200,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/4/24 00:00
Green Thumb Nursery,DF2017641,5/8/24,PO-000805,1925,1925,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/15/24 00:00
Green Thumb Nursery,DF2017678,5/9/24,PO-000806,1925,1925,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/16/24 00:00
Green Thumb Nursery,DF2017679,5/8/24,PO-000807,1925,1925,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/15/24 00:00
Green Thumb Nursery,DF2017699,5/8/24,PO-000808,1300,1300,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/15/24 00:00
Green Thumb Nursery,DF2018203,5/20/24,PO-000809,1475,1475,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/27/24 00:00
Green Thumb Nursery,DF2018218,5/21/24,PO-000810,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/28/24 00:00
Green Thumb Nursery,DF2018219,5/22/24,PO-000811,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/29/24 00:00
Green Thumb Nursery,DF2018403,5/28/24,PO-000812,1800,1800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/4/24 00:00
Green Thumb Nursery,DF2018406,5/28/24,PO-000813,1800,1800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/4/24 00:00
Green Thumb Nursery,DF2018407,5/24/24,PO-000814,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,5/31/24 00:00
Green Thumb Nursery,DF2018636,6/10/24,PO-000815,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018637,6/10/24,PO-000816,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018638,6/3/24,PO-000817,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/10/24 00:00
Green Thumb Nursery,DF2018639,6/10/24,PO-000818,1800,1800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018640,6/10/24,PO-000819,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018641,6/10/24,PO-000820,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018642,6/10/24,PO-000821,1800,1800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018643,6/10/24,PO-000822,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018644,6/3/24,PO-000823,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/10/24 00:00
Green Thumb Nursery,DF2018645,6/11/24,PO-000824,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/18/24 00:00
Green Thumb Nursery,DF2018646,6/12/24,PO-000825,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/19/24 00:00
Green Thumb Nursery,DF2018647,6/3/24,PO-000826,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/10/24 00:00
Green Thumb Nursery,DF2018648,6/10/24,PO-000827,1800,1800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018649,6/10/24,PO-000828,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018650,6/10/24,PO-000829,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018651,6/10/24,PO-000830,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2018652,6/10/24,PO-000831,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/17/24 00:00
Green Thumb Nursery,DF2019117,6/3/24,PO-000832,2300,2300,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,6/10/24 00:00
Green Thumb Nursery,DF2019922,7/29/24,PO-000833,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/5/24 00:00
Green Thumb Nursery,DF2019923,6/28/24,PO-000834,1600,1600,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,7/5/24 00:00
Green Thumb Nursery,DF2019924,6/28/24,PO-000835,1600,1600,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,7/5/24 00:00
Green Thumb Nursery,DF2019987,7/17/24,PO-000836,1300,1300,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,7/24/24 00:00
Green Thumb Nursery,DF2020013,7/29/24,PO-000837,1600,1600,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/5/24 00:00
Green Thumb Nursery,DF2020014,7/11/24,PO-000838,1600,1600,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,7/18/24 00:00
Green Thumb Nursery,DF2020265,7/29/24,PO-000839,2000,2000,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/5/24 00:00
Green Thumb Nursery,DF2020266,7/29/24,PO-000840,2000,2000,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/5/24 00:00
Green Thumb Nursery,DF2020267,7/30/24,PO-000841,2000,2000,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/6/24 00:00
Green Thumb Nursery,DF2020268,7/29/24,PO-000842,2100,2100,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/5/24 00:00
Green Thumb Nursery,DF2020620,7/30/24,PO-000843,1600,1600,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/6/24 00:00
Green Thumb Nursery,DF2021104,8/7/24,PO-000844,950,950,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/14/24 00:00
Green Thumb Nursery,DF2021489,8/7/24,PO-000845,1075,1075,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/14/24 00:00
Green Thumb Nursery,DF2021903,8/19/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2021904,8/19/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2021905,8/26/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/2/24 00:00
Green Thumb Nursery,DF2021906,8/19/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2021907,8/19/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2021908,8/19/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2021909,8/19/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2021910,8/19/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2021911,8/19/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,8/26/24 00:00
Green Thumb Nursery,DF2022003,8/30/24,PO-000848,1100,1100,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/6/24 00:00
Green Thumb Nursery,DF2022004,8/26/24,PO-000849,1100,1100,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/2/24 00:00
Green Thumb Nursery,DF2022005,8/26/24,PO-000850,1100,1100,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/2/24 00:00
Green Thumb Nursery,DF2022462,9/3/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/10/24 00:00
Green Thumb Nursery,DF2022463,9/3/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/10/24 00:00
Green Thumb Nursery,DF2022464,9/4/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/11/24 00:00
Green Thumb Nursery,DF2022465,9/3/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/10/24 00:00
Green Thumb Nursery,DF2022466,9/9/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022467,9/5/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/12/24 00:00
Green Thumb Nursery,DF2022468,9/5/24,PO-000846,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/12/24 00:00
Green Thumb Nursery,DF2022469,9/4/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/11/24 00:00
Green Thumb Nursery,DF2022470,9/3/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/10/24 00:00
Green Thumb Nursery,DF2022471,9/3/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/10/24 00:00
Green Thumb Nursery,DF2022472,9/3/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/10/24 00:00
Green Thumb Nursery,DF2022473,9/3/24,PO-000847,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/10/24 00:00
Green Thumb Nursery,DF2022634,9/9/24,PO-000851,1800,1800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022718,9/6/24,PO-000852,1325,1325,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/13/24 00:00
Green Thumb Nursery,DF2022759,9/9/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022760,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022761,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022762,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022763,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022764,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022765,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022766,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022767,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022768,9/11/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/18/24 00:00
Green Thumb Nursery,DF2022769,9/11/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/18/24 00:00
Green Thumb Nursery,DF2022770,9/11/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/18/24 00:00
Green Thumb Nursery,DF2022771,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022772,9/11/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/18/24 00:00
Green Thumb Nursery,DF2022773,9/9/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022774,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022775,9/9/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022776,9/9/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022777,9/9/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022778,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2022779,9/9/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/16/24 00:00
Green Thumb Nursery,DF2022780,9/16/24,PO-000853,800,800,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,9/23/24 00:00
Green Thumb Nursery,DF2023371,9/25/24,PO-000854,1650,1650,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,10/2/24 00:00
Green Thumb Nursery,DF2027737,3/7/25,PO-000855,2200,2200,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,3/14/25 00:00
Green Thumb Nursery,DF2027834,3/7/25,PO-000856,1500,1500,Closed,USD,Jeffrey Torres,555-308-5325,jeffrey@greenthumbnursery.com,Net 7,3/14/25 00:00
